housing,stator_yoke,stator_tooth,stator_coil_active,rotor_outer,rotor_inner,pm,shaft,loss,output_1_loss,output_2_loss,output_3_loss,output_1_mae,output_1_mae_pm,output_1_all_max_ae,output_1_pm_max_ae,final_epoch
0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0002155816328013,0.0002155816328013,0.4486583769321441,0.0017073823837563,0.7017722725868225,0.7017722725868225,2.700176954269409,2.700176954269409,252.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0001692008372629,0.0001692008372629,0.1400665044784546,0.001371543505229,0.4862194955348968,0.6584675312042236,4.379115104675293,3.389810800552368,281.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0001376117434119,0.0001376117434119,0.1225721463561058,0.0003003703895956,0.4801669716835022,0.610706627368927,3.922879219055176,3.922879219055176,193.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,9.754639177117495e-05,9.754639177117495e-05,0.145390436053276,0.0027446073945611,0.4504062235355377,0.5251286029815674,4.36202335357666,2.343393087387085,262.0
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0003211012517567,0.0003211012517567,0.195218801498413,0.0454920567572116,0.7266452312469482,0.9915188550949096,9.66891384124756,5.644598484039307,162.0
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0001777261786628,0.0001777261786628,0.1036648526787757,0.0007550728623755,0.6307011246681213,0.5867089629173279,3.430004835128784,2.752800703048706,223.0
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0002087261236738,0.0002087261236738,0.0958270877599716,0.0010910544078797,0.7276434302330017,0.7343104481697083,2.9184513092041016,2.9184513092041016,143.0
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.000105624734715,0.000105624734715,0.111473761498928,0.0021470393985509,0.5068926811218262,0.5015956163406372,2.2181615829467773,1.818304419517517,228.0
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0001118025393225,0.0001118025393225,0.0657097622752189,0.0034551268909126,0.401980847120285,0.5905317068099976,4.326877593994141,3.075303792953491,215.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0001124171903938,0.0001124171903938,0.0827863365411758,0.0113318786025047,0.4071433246135711,0.621105968952179,6.319565296173096,3.1155691146850586,226.0
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0001164330315077,0.0001164330315077,0.0556033663451671,0.0258552227169275,0.4293549954891205,0.5926512479782104,7.64605188369751,3.030344724655152,169.0
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0002054596989182,0.0002054596989182,0.0822462663054466,0.0014582282165065,0.6230056285858154,0.747890293598175,4.287198066711426,2.779114484786988,134.0
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0001304237521253,0.0001304237521253,0.0452581606805324,0.0010314896935597,0.4475709199905395,0.5281247496604919,4.389768123626709,2.227555751800537,290.0
1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0002003432891797,0.0002003432891797,0.0433929748833179,0.0016734262462705,0.6014819145202637,0.7260107398033142,4.49284029006958,2.71223521232605,174.0
0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,9.779383981367572e-05,9.779383981367572e-05,0.0824945718050003,0.005496775265783,0.4218274056911468,0.57392817735672,5.66587495803833,2.1860592365264893,225.0
0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,7.905186066636816e-05,7.905186066636816e-05,0.0839715674519538,0.0560917444527149,0.3673335015773773,0.5214358568191528,8.717517852783203,2.6913535594940186,302.0
0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0002898152160923,0.0002898152160923,0.0468287207186222,0.0016454680589959,0.7604263424873352,0.8613009452819824,4.528404235839844,2.92518949508667,214.0
0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,4.524064570432529e-05,4.524064570432529e-05,0.0511834919452667,0.0025357189588248,0.2991821765899658,0.2632600367069244,2.279410123825073,1.937830805778504,242.0
0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,7.660514529561624e-05,7.660514529561624e-05,0.0488883815705776,0.0006836642860434,0.386065661907196,0.3525667488574981,2.6851470470428467,1.7820559740066528,171.0
0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0001830854598665,0.0001830854598665,0.1111037358641624,0.2715333104133606,0.5720387697219849,0.7166973948478699,12.392102241516112,3.8421802520751953,237.0
0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0001359919260721,0.0001359919260721,0.0566741116344928,0.0015734931221231,0.5317203998565674,0.5937553644180298,4.840389251708984,2.8170790672302246,152.0
0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,8.249074016930535e-05,8.249074016930535e-05,0.0498450696468353,0.0015503995819017,0.4093032479286194,0.4018117487430572,4.160419940948486,1.936784625053405,186.0
0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,8.33412996144034e-05,8.33412996144034e-05,0.0579789653420448,0.0033295203465968,0.4134863913059234,0.3574189841747284,4.916721343994141,1.6335374116897583,227.0
0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0001665319578023,0.0001665319578023,0.0608264282345771,0.0265415366739034,0.6085951328277588,0.6336858868598938,7.360726833343506,2.452962875366211,220.0
