housing,stator_yoke,stator_tooth,stator_coil_active,rotor_outer,rotor_inner,pm,shaft,loss,output_1_loss,output_2_loss,output_3_loss,output_1_mae,output_1_mae_pm,output_1_all_max_ae,output_1_pm_max_ae
0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0005083854193799,0.0005083854193799,0.122365765273571,0.0009341016411781,1.0355091094970703,1.1932778358459473,5.287537574768066,4.052875995635986
0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0005374884349294,0.0005374884349294,0.1552719324827194,0.0032684695906937,1.0297032594680786,1.3945119380950928,5.957986831665039,4.888734817504883
0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0003530382236931,0.0003530382236931,0.1957704126834869,0.0077075553126633,0.8592678904533386,1.103622317314148,5.393709659576416,4.4078874588012695
0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0009489502990618,0.0009489502990618,0.1036232709884643,0.0006086386856622,1.406085729598999,1.236816167831421,10.562466621398926,6.651636123657227
0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.00116566370707,0.00116566370707,0.0961007922887802,0.0002225184143753,1.4746421575546265,1.7941702604293823,10.631385803222656,10.631385803222656
0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0004524954711087,0.0004524954711087,0.111395888030529,0.0017336215823888,1.0650057792663574,0.9724345207214355,4.182284355163574,3.219801425933838
1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0007145375129766,0.0007145375129766,0.0822245553135871,0.0046835294924676,0.9060716032981871,1.808245301246643,7.506870746612549,7.506870746612549
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0005402817623689,0.0005402817623689,0.0429079718887805,0.0034907672088593,0.8448071479797363,1.2459802627563477,6.839229106903076,6.594740390777588
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0003807017055805,0.0003807017055805,0.0517577044665813,0.0079598454758524,0.8235327005386353,1.0898780822753906,8.20336627960205,5.257101535797119
1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0009449425269849,0.0009449425269849,0.0424252487719059,0.0007779175066389,1.2198543548583984,1.5978972911834717,12.138724327087402,12.138724327087402
